বাঙ্গালী জাতির পরিচয় কি?	উঃ শংকর জাতি হিসেবে।			
স্বাধীন সার্বভৌম ভারত রাষ্ট্রের জন্ম হয় কবে?	উঃ ১৫ আগস্ট ১৯৪৭ সালে।			
স্বাধীন সার্বভৌম পাকিস্তান রাষ্ট্রের জন্ম হয় কবে?	উঃ ১৪ আগস্ট ১৯৪৭ সালে।			
পাকিস্তানের প্রথম প্রধানমন্ত্রী কে ছিলেন?	উঃ লিয়াকত আলী খান।			
পাকিস্তানের প্রথম প্রেসিডেন্ট কে ছিলেন?	উঃ ইস্কান্দার মির্জা।			
পাকিস্তানের প্রথম গভর্নর জেনারেল কে ছিলেন?	উঃ মুহম্মদ আলী জিন্নাহ।			
পূর্ব পাকিস্তানের প্রথম মুখ্যমন্ত্রী কে হন?	উঃ খাজা নাজিমউদ্দিন।			
পাকিস্তানের প্রথম গণপরিষদের প্রথম অধিবেশন কোথায় বসে?	উঃ করাচিতে।			
পাকিস্তানে গন পরিষদের প্রথম অধিবেশন কবে বসে?	উঃ ২৩ ফেব্রুয়ারী ১৯৪৮।			
বাংলাদেশ কত বছর পাকিস্তানের অন্তর্ভুক্ত ছিল?	উঃ ২৪ বৎসর।	
বাংলাদেশ আওয়ামী লীগ কবে প্রতিষ্ঠিত হয়?	উঃ ২৩ জুন, ১৯৪৯ সালে।			
আওয়ামী লীগের প্রথম সভাপতি কে হন?	উঃ মাওলানা আবদুল হামিদ খান ভাসানী।			
আইয়ুব খানের সহচর ও পূর্ব পাকিস্তানে দীর্ঘকালীন গর্ভনর কে ছিলেন?	উঃ মোনায়েম খান			
নূরুল আমিনের মুখ্যমন্ত্রীত্বের মেয়াদকাল কত?	উঃ ১৪ সেপ্টেম্বর, ১৯৪৮ থেকে মার্চ, ১৯৫৪।	
যুক্তফ্রন্ট কবে গঠিত হয়?	উঃ ০৪ ডিসেম্বর, ১৯৫৩।	
যুক্তফ্রন্ট মন্ত্রীসভা কবে কার নেতৃত্বে গঠিত হয়?	উঃ ০২ এপ্রিল, ১৯৫৪। এ. কে. ফজলুল হকের।			
যুক্তফ্রন্ট মন্ত্রিসভা বাতিল ঘোষনা করা হয় কবে?	উঃ ৩০ মে ১৯৫৪।			
এ,কে, ফজলুল হকের পর পূর্ব পাকিস্তানের মুখ্যমন্ত্রী হন কে?	উঃ আবু হোসেন সরকার।			
আতাউর রহমান কবে মুখ্যমন্ত্রী হন?	উঃ ০৬ সেপ্টেম্বর, ১৯৫৬।			
কবে পাকিস্তান গণ পরিষদ বাতিল করা হয়?	উঃ ২৪ অক্টোবর ১৯৫৪।			
পাকিস্তানের প্রথম শাসনতন্ত্র কবে গ্রহীত হয়?	উঃ ২৯ ফেব্রুয়ারী, ১৯৫৬।			
পাকিস্তানের প্রথম শাসনতন্ত্র কবে কার্যকর হয়?	উঃ ২৩ মার্চ ১৯৫৬।			
পূর্ব বাংলার নাম কবে পূর্ব পাকিস্তান হয়?	উঃ ২৩ মার্চ ১৯৫৬।			
শহীদ সোহওয়ার্দি কবে পকিস্তানের প্রধানমন্ত্রি হন?	উঃ ১২ সেপ্টেম্বর, ১৯৫৬।			
মালিক ফিরোজ খান নুন কবে প্রধানমন্ত্রি হন?	উঃ ১৬ ডিসেম্বর, ১৯৫৭ সালে।			
পাকিস্তানের জাতীয় পরিষদের প্রথম অধিবেশন কোথায় হয়?	উঃ ঢাকায়।			
গভর্নর এ, কে ফজলুল হক কবে আতাউর রহমান মন্ত্রিসভা বরখাস্ত করেন?	উঃ ৩১ মার্চ, ১৯৫৮।			
পাকিস্তানের প্রথম শাসনতন্ত্রের কে, কবে বাতিল করেন?	উঃ ইস্কান্দার মির্জা, ৮ অক্টোবর, ১৯৫৮।			
পাকিস্তানে প্রথম কে কবে সামরিক আইন জারী করে?	উঃ ইস্কান্দার মির্জা, ৮ অক্টোবর, ১৯৫৮।			
আইয়ুব খান কবে ইস্কান্দার মির্জার স্থলাভিসিক্ত হন?	উঃ ২৭ অক্টোবর ১৯৫৮।			
মৌলিক গণতন্ত্রীদের আস্থা ভোটে আইয়ুর খান কবে প্রেসিডেন্ট নির্বাচিত হন?	উঃ ফেব্রুয়ারী, ১৯৬০ সালে।	
১৯৬১ সালে পূর্ব পাকিস্তানের গর্ভনর কে ছিলেন?	উঃ জেনারেল আযম খান।			
পাকিস্তানের দ্বিতীয় শাসনতন্ত্রের ঘোষনা দেন কে, কবে?	উঃ প্রেসিডেন্ট আইয়ুব খান, মার্চ ,১৯৬২।			
১৯৫৪ সালের পরে কবে প্রাদেশিক নির্বাচন হয়?	উঃ ৭ মে, ১৯৬২।			
১৯৬২ সালের নির্বাচনের পরে পূর্ব পাকিস্তানের আইন পরিষদের স্পীকার কে ছিলেন?	উঃ আবদুল হামিদ চৌধুরী।			
১৯৬২ সালের পর কবে প্রাদেশিক নির্বাচন হয়?	উঃ ১৬ মে, ১৯৬৫।			
কোন নির্বাচনে প্রেসিডেন্ট আইয়ুব খানের বিপক্ষে ফাতেমা জিন্নাহ দাড়িয়ে ছিলেন?	উঃ ১৯৬৫ সালের জানুয়ারী মাসের রাষ্ট্রপতি নির্বাচনে।			
প্রথম পাক-ভারত যুদ্ধ কবে শুরু হয়?	উঃ ৬ ই সেপ্টেম্বর, ১৯৬৫।	
প্রথম পাক-ভারতের যুদ্ধের কারণ কি?	উঃ পাকিস্তান কর্তৃক ভারত অধিকৃত কাশ্মীর দখলের প্রচেষ্টা।	
পাকিস্তান গন পরিষদে বাংলা ভাষা সংক্রান্ত সংশোধনী প্রস্তাব আনেন?	উঃ গন পরিষদ সদস্য ধীরেন্দ্রনাথ দত্ত।			
উর্দুকে রাষ্ট্রভাষা করার প্রস্তাব প্রথম কবে, কোথায় গৃহীত হয় ?	উঃ ডিসেম্বর, ১৯৪৭ সালে করাচিতে শিক্ষা সম্মেলনে।			
তমুদ্দিন মজলিস কি ? এটি কবে গঠিত হয় ?	উঃ একটি সাংস্কৃতিক প্রতিষ্ঠান, ২ সেপ্টেম্বর ১৯৪৭ ।			
উর্দুকে রাষ্ট্রভাষা করার বিরুদ্ধে কবে সর্বদলীয় রাষ্ট্রভাষা সংগ্রাম পরিষদ গঠিত হয় ?	উঃ ০২ ই ১৯৪৮ মার্চ।			
১৯৫২ সালের ভাষা আন্দোলনের সময় পূর্ব বাংলার মূখ্যমন্ত্রী কে ছিলেন ?	উঃ নুরুল আমিন।			
১৯৫২ র ভাষা আন্দোলনের সময় পাকিস্তানের প্রধানমন্ত্রি কে ছিলেন ?	উঃ খাজা নাজিমউদ্দিন।			
প্রথম তৈরী শহীদ মিনার কে উম্মোচন করেন ?	উঃ শহীদ শফিউরের পিতা।			
১৯৫২ র ভাষা আন্দোলনের শহীদের স্মরণে কবে প্রথম শহীদ মিনার নির্মান করা হয় ?	উঃ ১৯৫২ সালের ২৩ শে ফেব্রুয়ারী।			
উর্দু - উর্দুই হবে পাকিস্তানের একমাত্র রাষ্ট্রভাষা এ কথাটি কে বলেছিলেন ?	উঃ মুহম্মদ আলী জিন্নাহ।			
কত সালে বাংলা ভাষাকে রাষ্ট্রভাষা হিসাবে স্বীকৃতি দেয়া হয় ?	উঃ ১৯৫৬ সালে।			
শেখ মুজিব ছয় দফা কর্মসুচী কবে ব্যক্ত করেন?	উঃ ১৩ ফেব্রুয়ারী ১৯৬৬ সালে।	
আগরতলা ষড়যন্ত্র মামলা দায়ের করা হয়?	উঃ জানুয়ারী, ১৯৬৮।			
আগরতলা ষড়যন্ত্র মামলার বিশেষ আদালতের বিচারক ছিলেন?	উঃ পাকিস্তানের প্রধান বিচারপতি এস.এ. রহমান।			
আগরতলা ষড়যন্ত্র মামলার বিচার হয়?	উঃ জুন, ১৯৬৮।			
আগরতলা ষড়যন্ত্র মামলার আসামী কত জন ছিল?	উঃ ৩৫ জন।			
‘আগরতলা ষড়যন্ত্র’ মামলার প্রধান আসামী ছিলেন?	উঃ শেখ মুজিবর রহমান।			
আগরতলা ষড়যন্ত্র মামলা কবে প্রত্যাহার করা হয়?	উঃ ২২ ফেব্রুয়ারী ১৯৬৯।			
কবে আগরতলা ষড়যন্ত্র মামলার আসামী সার্জেন্ট জহুরুল হককে হত্যা করে?	উঃ ১৫ ফেব্রুয়ারী ১৯৬৯।			
আইয়ুব খান কবে কেন পদত্যাগ করতে বাধ্য হয়?	উঃ ২৫ মার্চ, ১৯৬৯ সালে। রাজনৈতিক সংকটের জন্য।			
পুলিশের গুলিতে শহীদ আসাদ কবে নিহত হন?	উঃ ২০ জানুয়ারী, ১৯৬৯।			
তিনি কোন ঢাকা বিশ্ববিদ্যালয়ের কোন বিভাগের ছাত্র ছিলেন?	উঃ আইন বিভাগের।			
পুলিশের গুলিতে শহীদ মতিউর কবে নিহত হন?	উঃ ২৪ জানুয়ারী, ১৯৬৯।			
তিনি কোন বিদ্যালয়ের ছাত্র ছিলেন?	উঃ নবকুমার ইনষ্টিটিউশনের, নবম শ্রেনীর ছাত্র।			
শহীদ ড. শামসুজ্জোহা কবে কোথায় হত্যা করা হয়েছিল?	উঃ ১৮ ফেব্রুয়ারী, ১৯৬৯, রাজশাহী বিশ্ববিদ্যালয় প্রাঙ্গনে।			
আইয়ুব খান কবে কার নিকট পাকিস্তানের ক্ষমতা হস্তান্তর করেন?	উঃ ২৫ মার্চ, ১৯৬৯। আগা মুহম্মদ ইয়াহিয়া খান।			
শেখ মুজিবর রহমানকে কবে বঙ্গবন্ধুকে উপাধিতে ভুষিত করা হয়?	উঃ ১৯৬৯ সালের ২৩ ফেব্রুয়ারী।			
কখন শেখ মুজিবর রহমানকে জাতির জনক ঘোষনা দেয়া হয়?	উঃ ০৩ মার্চ ১৯৭১।			
বঙ্গবন্ধু শেখ মুজিবর রহমান কে প্রথমে জাতির পিতা ঘোষনা দেন?	উঃ আ.স.ম আবদুর রব।			
১৯৭০ সালের নির্বাচনে আওয়ামী লীগ জাতীয় পরিষদের কয়টি আসন পেয়েছিল?	উঃ ১৬৭ টি আসন।			
পাকিস্তানের প্রথম সাধারন নির্বাচন কবে অনুষ্ঠিত হয়?	উঃ ০৭ ডিসেম্বর, ১৯৭০সাল।			
আলোচনা ভেঙ্গে দিয়ে ইয়াহিয়া খান কবে ঢাকা ত্যাগ করেন?	উঃ ২৫ মার্চ, ১৯৭১ রাতে।			
বাংলাদেশের জাতীয় প্রতীক কি ?	উঃ উভয় পাশে ধানের শীষে বেষ্টিত পানিতে ভাসমান জাতীয় ফুল শাপলা।  তার মাথায় পাটগাছের পরস্পর সংযুক্ত তিনটি পাতা এবং উভয পাশে দুটি করে তারকা।
জাতীয় পতাকা প্রথম কে উত্তোলন করেন?	উঃ তৎকালীন ছাত্র নেতা আ.স.ম আবদুর রব।			
জাতীয় পতাকা পরিমাপের অনুপাত কত?	উঃ দৈর্ঘ্য : প্রস্থ = ৫:৩			
বাংলাদেশের জাতীয় সংগীত কোনটি?	উঃ আমার সোনার বাংলা প্রথম ১০ চরন।			
আমার সোনার বাংলা কবিতাটিতে কতটি চরণ আছে?	উঃ ২৫টি।			
আমার সোনার বাংলা রবীন্দ্রনাথ ঠাকুরের কোন গ্রন্থের অর্ন্তগত?	উঃ গীতবিতান এর অর্ন্তগত।			
আমার সোনার বাংলা-র সুরকার কে?	উঃ রবীন্দ্রনাথ ঠাকুর।			
আমার সোনার বাংলা প্রথম প্রকাশিত হয় কোন পত্রিকায়?	উঃ বঙ্গদর্শন।			
আমার সোনার বাংলা প্রথম প্রকাশিত হয় কোন সালে?	উঃ ১৯০৫ সালে।			
বাংলাদেশের রণ সংগীত কোনটি?	উঃ চল চল চল চল কবিতার প্রথম দুই স্তবক।			
বাংলাদেশের রণ সঙ্গীতের গীতিকার কে?	উঃ কাজী নজরুল ইসলাম।			
উৎসব অনুষ্ঠানে বাজানো হয় রণ সঙ্গীতের কত চরণ?	উঃ প্রথম ২১ চরন।			
বাংলাদেশের রণ সঙ্গীতের সুরকার কে?	উঃ কাজী নজরুল ইসলাম।			
বাংলাদেশের রণ সংগীত চল্‌ চল্‌ চল্‌ কোন কাব্যর অর্ন্তগত?	উঃ সন্ধ্যা কাব্য।			
রণ সঙ্গীত বাংলা কত সালে প্রথম প্রকাশিত হয়?	উঃ ১৩৩৫ সালে।			
রণ সঙ্গীত কোন পত্রিকায় প্রকাশিত হয়?	উঃ শিখায় ।			
বাংলাদেশের ক্রীড়া সংগীত কোনটি?	উঃ সেলিমা রহমান রচিত  বাংলাদেশের দুরন্ত সন্তান আমরা দুর্দম দুর্জয় নামক গানটি।
বাংলাদেশের স্বাধীনতা সংগ্রামের সর্বাধিনায়ক কে ছিলেন?	উঃ বঙ্গবন্ধ শেখ মুজিবুর রহমান।			
প্রথম কোথায় বাংলাদেশের পতাকা উত্তোলন করা হয়?	উঃ ঢাকা বিশ্ববিদ্যালয়ের এক ছাত্রসভায়।			
প্রথম কবে বাংলাদেশের পতাকা উত্তোলন করা হয ?	উঃ ০২ ই মার্চ, ১৯৭১।			
বাংলাদেশের পতাকা কে প্রথম উত্তোলন করেন?	উঃ আ স ম আব্দুর রব।			
কবে, কোথায় স্বাধীনতার ইশতেহার পাঠ করা হয়?	উঃ ০৩ মার্চ, ১৯৭১, পল্টন ময়দানে।			
চট্টগ্রাম বেতার কেন্দ্র থেকে স্বাধীনতার ঘোষনা পাঠ করা হয় ?	উঃ ২৬ মার্চ, ১৯৭১।			
স্বাধীন বাংলা বেতার কেন্দ্র কবে, কোথায় স্থাপন করা হয়?	উঃ চট্টগ্রামের কালুরঘাটে, ২৬ মার্চ, ১৯৭১।			
মুক্তিযুদ্ধে প্রথম সশস্ত্র প্রতিরোধ গড়ে তোলেন কারা?	উঃ ইস্ট বেঙ্গল রেজিমেন্ট।			
মুক্তিযুদ্ধে প্রথম সশস্ত্র প্রতিরোধ কবে, কোথায় সংগঠিত হয়?	উঃ ১৯ মার্চ, ১৯৭১ গাজিপুরে।			
শেখ মজিবুর রহমানকে প্রেফতার করে পশ্চিম পাকিস্তানে নিয়ে যায় কখন?	উঃ ২৫ মার্চ, ১৯৭১ মধ্যরাতে।			
শেখ মুজিব কত তারিখে পাকিস্তানের কারাগার হতে মুক্তিলাভ করেন ?	উঃ ১০ জানুয়ারী ১৯৭২।			
এ দেশের মাটি চাই, মানুষ নয়- এ উক্তি কার?	উঃ জেনারেল ইয়াহিয়া খান।			
সর্বপ্রথম কবে বাংলাদেশের স্বাধীন মন্ত্রিসভা গঠিত হয়?	উঃ ১০ এপ্রিল, ১৯৭১।			
বাংলাদেশের প্রথম অস্থায়ী সরকার কবে গঠিত হয়েছিল?	উঃ ১০ এপ্রিল, ১৯৭১।			
বাংলাদেশকে প্রজাতন্ত্র ঘোষনা করা হয়েছিল কবে?	উঃ ১৭ এপ্রিল, ১৯৭১।			
বাংলাদেশের অস্থায়ী সরকার কবে শপথ গ্রহন করেছিল?	উঃ ১৭ এপ্রিল, ১৯৭১।			
বাংলাদেশের অস্থায়ী সরকারের সদস্য সংখ্যা কত ছিল?	উঃ ৬ জন।			
বাংলাদেশের অস্থায়ী সরকারের রাজধানী কোথায় ছিল?	উঃ মেহেরপুর জেলার মুজিবনগরে।			
মুজিবনগরের পুরাতন নাম কি ছিল?	উঃ বৈদ্যনাথ তলার ভবের পাড়া।			
কে বৈদ্যনাথ তলার নাম মুজিব নগর রাখেন?	উঃ তাজউদ্দিন আহম্মেদ।			
মুজিনগর সরকারের অর্থমন্ত্রী ছিলেন কে?	উঃ এম, মনসুর আলী।			
মুজিনগর সরকারের প্রধানমন্ত্রি ছিলেন কে?	উঃ তাজউদ্দিন আহম্মেদ।			
মুজিনগর সরকারের রাষ্ট্রপতি কে ছিলেন?	উঃ শেখ মুজিবর রহমান।			
মুজিনগর সরকারের অস্থায়ী রাষ্ট্রপতি কে ছিলেন?	উঃ সৈয়দ নজরুল ইসলাম।			
মুজিনগরে নতুন সরকার গঠনের ঘোষনাপত্র পাঠ করেন?	উঃ অধ্যাপক ইউসুফ আলী।			
মুজিনগরে সরকারকে প্রথম গার্ড অনার কে প্রদান করেন?	উঃ মাহবুব উদ্দিন আহমেদ (বীর বিক্রম)			
জেনারেল ওসমানী কবে বাংলাদেশের সেনা প্রধান নিযুক্ত হন?	উঃ ১৮ এপ্রিল, ১৯৭১।			
বাংলাদেশের অস্থায়ী সরকারের প্রথম বিমান বাহিনীর প্রধান কে ছিলেন?	উঃ ক্যাপ্টেন এ কে খন্দকার।			
প্রথম কোন বাংলাদেশী কূটনীতিক দেশের প্রতি আনুগত্য প্রকাশ করেন?	উঃ এম হোসেন আলী।			
সাইমন ড্রিং কে ছিলেন?	উঃ ১৯৭১ সালে ঢাকায় কর্মরত ব্রিটিশ সাংবাদিক।  যিনি সর্বপ্রথম পাকিস্থানী বর্বরতার কথা বর্হিবিশ্বে প্রকাশ করেন। তিনি পরবর্তীতে একুশে টেলিভিশনের পরিচালক ছিলেন।
১৯৭১ সালে কোন বিদেশী মিশনে বাংলাদেশের পতাকা প্রথম উত্তোলন করা হয়?	উঃ ১৮ এপ্রিল কলকতায়।	
মুক্তিযুদ্ধ চলা কালে সমগ্র বাংলাদেশকে কয়টি সেক্টরে ভাগ করেছিলেন?	উঃ ১১ টি।			
কোন সেক্টরে নিয়মিত কোন সেক্টর কমান্ডার ছিল না?	উঃ ১০ নং সেক্টর।			
স্বাধীনতা যুদ্ধে কত জন বীরশ্রেষ্ঠ উপাধি লাভ করেন?	উঃ ৭ জন।			
স্বাধীনতা যুদ্ধে কত জন বীরউত্তম খেতাব লাভ করেন?	উঃ ৬৮ জন।			
স্বাধীনতা যুদ্ধে কত জন বীর বিক্রম উপাধি লাভ করে?	উঃ ১৭৫জন।			
স্বাধীনতা যুদ্ধে বিশেষ অবদানের জন্য বীর প্রতীক খেতাব প্রাপ্তির সংখ্যা কত?	উঃ ৪২৬ জন।			
স্বাধীনতা যুদ্ধে অবদানের জন্য মোট কতজন খেতাব প্রাপ্ত হন?	উঃ ৬৭৬ জন।			
কোন বীর শ্রেষ্ঠের মৃতদেহ উদ্ধার করা সম্ভব হয়নি?	উঃ বীর শ্রেষ্ঠ রুহুল আমীন।			
কোন বীর শ্রেষ্ঠের কোন খেতাবী কবর নেই?	উঃ বীর শ্রেষ্ঠ রুহুল আমীন।			
সমপ্রতি কোন বীর শ্রেষ্ঠের কবর পাকিস্তান থেকে দেশে এনে সমাহিত করা হয়েছে?	উঃ বীরশ্রেষ্ঠ মতিউর রহমান।			
বীর শ্রেষ্ঠ মতিউর রহমানের কবর কোথায় ছিল?	উঃ পাকিস্তানের করাচীর মাশরুর বিমান ঘাটিতে।			
কোন বীর শ্রেষ্ঠের কবর বাংলাদেশে ছিল না?	উঃ বীরশ্রেষ্ঠ হামিদুর রহমানের।			
বীরশ্রেষ্ঠ হামিদুর রহমানের কবর কোথায় ছিল?	উঃ ভারতের আমবাসা এলাকায়।			
দুইজন খেতাবধারী মহিলা মুক্তিযোদ্ধার নাম কি ?	উঃ ক্যাপ্টেন সেতারা বেগম ও তারামন বিবি।			
বাংলাদেশের মুক্তিযুদ্ধে একজন ইতালীর নাগরিক মৃত্যুবরণ করেন তার নাম কি ছিল?	উঃ মাদার মারিও ভেরেনজি।			
স্বাধীনতা যুদ্ধে বীর প্রতীক খেতাব প্রাপ্ত একমাত্র বিদেশী কে?	উঃ হোসাইল হেমার ওয়াডার ওয়াডারল্যান্ড, অষ্ট্রেলিয়া।			
বাংলাদেশে সর্বকনিষ্ঠ খেতাবধারী মুক্তিযোদ্ধা কে?	উঃ শহীদুল ইসলাম(লালু) বীর প্রতীক।			
ভারত-বাংলাদেশ যৌথ বাহিনী গঠন করা হয় কবে?	উঃ ২১ নভেম্বর, ১৯৭১।			
ভারত-বাংলাদেশ যৌথ বাহিনী কবে হানাদার বাহিনীর বিরুদ্ধে যুদ্ধ শুরু করে?	উঃ ০৬ ডিসেম্বর, ১৯৭১।			
ভারত-বাংলাদেশ যৌথ কমান্ডের সেনাধ্যক্ষ কে ছিলেন?	উঃ জেনারেল জগজিৎ সিং অরোরা।			
পাকিস্তানের পক্ষে কে আত্মসমর্পন করেন?	উঃ জেনারেল এ, কে নিয়াজী।			
মুক্তিযুদ্ধের আত্মসমর্পণ দলিল কোথায় স্বাক্ষরিত হয়?	উঃ রেসকোর্স ময়দানে।			
জেনারেল এ, কে নিয়াজী কার নিকট আত্মসমর্পণ করে?	উঃ জেনারেল জগজিৎ সিং অরোরার।			
আত্মসমর্পণ অনুষ্ঠানে বাংলাদেশের পক্ষে কে নেতৃত্ব প্রদান করেন?	উঃ বিমান বাহিনীর প্রধান কমোডর এ কে খন্দকার।			
জেনারেল নিয়াজী আত্মসমর্পের সময় পাকিস্তানের সৈন্যবাহিনীর কত সংখ্যা ছিল ?	উঃ ৯৩ হাজার।			
কোন সাহিত্যক মুক্তিযুদ্ধে অবদানের জন্য বীর প্রতীক খেতাব লাভ করেন?	উঃ আবদুস সাত্তার।			
স্বাধীন বাংলা বেতার কেন্দ্রের চরমপত্র নামক কথিকা কে পাঠ করতেন?	উঃ এম আর আখতার মুকুল।			
২৬ মার্চ কে স্বাধীনতা দিবস ঘোষনা করা হয় কখন?	উঃ ১৯৮০ সালে।			
বীর শ্রেষ্ঠদের মধ্যে প্রথম মৃত্য বরণ কে করেন?	উঃ মোস্তফা কামাল (৮ এপ্রিল, ১৯৭১)।			
বীর শ্রেষ্ঠদের মধ্যে সর্বশেষে মৃত্য বরণ কে করেন?	উঃ মহিউদ্দিন জাহাঙ্গীর (১৪ ডিসেম্বর, ১৯৭১)।			
একমাত্র বীর বিক্রম খেতাবধারী আদিবাসী/উপজাতী মুক্তিযোদ্ধা কে ছিলেন?	উঃ উক্যাচিং মারমা।
বাংলাদেশকে প্রথম কোন দেশ স্বীকৃতি দেয় ?	উঃ ভারত।			
বাংলাদেশকে স্বীকৃতিপ্রদানকারী দ্বিতীয় দেশ কোনটি ?	উঃ ভুটান।			
সৌদিআরব কবে বাংলাদেশকে স্বীকৃতি দেয় ?	উঃ ১৬ আগষ্ট, ৭৫।			
আরব দেশগুলোর মধ্যে বাংলাদেশকে স্বীকৃতি দানকারী প্রথম দেশ কোনটি ?	উঃ ইরাক।			
বাংলাদেশকে স্বীকৃতিপ্রদানকারী প্রথম আফ্রিকান দেশ কোনটি ?	উঃ সুদান।			
বাংলাদেশকে কবে জাতিসংঘের সাধারণ পরিষদের সভাপতি নির্বাচিত হয় ?	উঃ ১৯৮৬ সালে।			
বাংলাদেশকে জাতিসংঘের সাধারণ পরিষদের কততম অধিবেশনে সভাপতি নির্বাচিত হয় ?	উঃ ৪১ তম।			
জাতিসংঘ সাধারন পরিষদের প্রথম বাংলাদেশী সভাপতি কে?	উঃ হুমায়ন রশিদ চৌধুরী।			
বাংলাদেশ কমনওয়েলথের কততম সদস্য ?	উঃ ৩২ তম।			
বাংলাদেশের কমনওয়েলথে যোগদানের প্রতিবাদে কোন দেশ কমনওয়েলথ ত্যাগ করেছিল ?	উঃ পাকিস্তান।			
কবে বাংলাদেশ নিরাপত্তা পরিষদের সভাপতির দায়িত্ব গ্রহন করে ?	উঃ ১ মার্চ ২০০০।			
ফোবানা কি ?	উঃ আমেরিকায় বসবাসকারী বাংলাদেশীদের একটি বেসরকারী সংগঠন।	
বাংলাদেশের কোন রাষ্ট্রপ্রধান প্রথম জাতিসংঘে বাংলা ভাষায় বক্তৃতা করেন ?	উঃ বঙ্গবন্ধু শেখ মুজিবর রহমান।			
বিশ্বের কোন দেশ সর্বপ্রথম বাংলাদেশের সেনা মেডিকেল টিম সেবা প্রদান করে ?	উঃ সিরিয়া, ১৯৭৩ সালে।			
ও, আই, সি একমাত্র কারিগরী ইন্সটিটিউট কোথায় স্থাপন করা হয়েছে ?	উঃ ঢাকায়। Islamic Institute Of Technology (IIT)			
বাংলাদেশ জাতিসংঘের কততম সদস্য ?	উঃ ১৩৬ তম।
বাংলাদেশের আয়তন কত ?	উঃ ১,৪৭,৫৭০ বর্গ কিঃ মিঃ।	
আয়তনের দিক দিয়ে বিশ্বে বাংলাদেশের স্থান কত ?	উঃ ৯০ তম।
পৃথিবীর বৃহত্তম ব-দ্বীপ কোনটি?	উঃ বাংলাদেশ।			
বাংলাদেশের কোন অঞ্চল এবং কতখানি জায়গা নিয়ে বরেন্দ্রভূমি বিস্তৃত?	উঃ রাজশাহী অঞ্চলে প্রায় ৯৩২০ বর্গ কিঃ মিঃ।			
মধুপুর ও ভাওয়ালের গড় কোথায় অবস্থিত?	উঃ গাজীপুর, ময়মনসিংহ এবং টাঙ্গাইল।			
মধুপুর ও ভাওয়াল গড়ে আয়তন কত?	উঃ প্রায় ৪৩১০ কিঃ মিঃ।			
লালমাই পাহাড়ের আয়তন এবং গড় উচ্চতা কত?	উঃ আয়তন ৩৩.৬৫ বর্গ কিঃমিঃ এবং গড় উচ্চতা ২১ মি:			
বাংলাদেশের পলল সমভুমি এলাকার আয়তন কত?	উঃ প্রায় ১,২৪,২৬৬ বর্গ কিঃমিঃ।			
পস্নাবন ভুমি এলাকার গড় উচ্চতা কত?	উঃ সমুদ্র পৃষ্ট হতে প্রায় ৯.১৪ মিটার বা ৩০ ফুট।			
সমুদ্র তল থেকে দিনাজপুরের উচ্চতা কত?	উঃ ৩৭.৫০ মিটার।			
সমুদ্রতল থেকে বগুড়ার উচ্চতা কত ?	উঃ ২০ মিটার।			
সমুদ্রতল থেকে নারায়নগঞ্জ এবং রাজশাহীর উচ্চতা কত?	উঃ ৮ মিটার।			
বাংলাদেশের মোট সীমান্ত দৈর্ঘ্য কত ?	উঃ ৫,১৩৮ কিলোমিটার। (৭১১ কিঃমিঃ সমুদ্র উপকূলসহ)	
বাংলাদেশের সমুদ্র উপকূলের দৈর্ঘ্য কত ?	উঃ ৭১১ কিঃ মিঃ বা ৪২২ মাইল।			
কক্সবাজার সমুদ্র উপকূলের দৈর্ঘ্য কত ?	উঃ ১৫৫ কিলোমিটার।			
বাংলাদেশের রাজনৈতিক সমুদ্রসীমা কত?	উঃ ১২ নটিক্যাল মাইল।			
বাংলাদেশের অর্থনৈতিক সমুদ্রসীমা কত?	উঃ ২০০ নটিক্যাল মাইল।			
ভারতের সঙ্গে বাংলাদেশের সীমান্ত কত?	উঃ ৪,১৫৬ কিঃমিঃ।(পশ্চিমবঙ্গ-২২৬২ কিঃমিঃ, আসাম-২৬৪ কিঃমিঃ, মেঘালয়-৪৩৬ কিঃমিঃ,ত্রিপুরা-৮৭৪ কিঃমিঃ ও মিজোরাম-৩২০ কিঃমিঃ)
ভারতের সাথে বাংলাদেশের অমিমাংশিত সীমান্ত কত?	উঃ ৬.৫ কিলোমিটার।(২০১১ সালে সীমানা চিহ্নিত করা হয়েছে, কিন্তু এখনও কোন দেশের সংসদে অনুমোদিত হয়নি)
ভারত-বাংলাদেশ সীমান্ত চুক্তি কখন স্বাক্ষরিত হয়?	উঃ ১৬ মে, ১৯৭৪।
মায়ানমারের সঙ্গে বাংলাদেশের সীমান্ত কত?	উঃ ২৭১ কিঃমিঃ।	
বাংলাদেশের কোথায় কোথায় পর্বত আছে?	উঃ পার্বত্য চট্টগ্রাম, ময়মনসিংহ, কুমিল্লা ও সিলেটে।			
বাংলাদেশের সর্ব দক্ষিণে কোন দ্বীপ অবস্থিত?	উঃ সেন্টমার্টিন।			
বাংলাদেশের একমাত্র প্রবাল দ্বীপ কোনটি?	উঃ সেন্টমার্টিন।			
দক্ষিণ তালপট্টির ভারতীয় নাম কি?	উঃ পূর্বাশা দ্বীপ বা নিউমুর।			
দহগ্রাম-আঙ্গরপোতা সীমান্ত কোথায় ?	উঃ লালমানরহাট জেলার পাটগ্রাম থানায়।			
দহগ্রামের আয়তন কত ?	উঃ ৩৫ বর্গ কিঃ মিঃ।			
